ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species
ESV_021525,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043748,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Miraciidae,Sarsamphiascus,Sarsamphiascus kawamurai
ESV_043875,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,Evadne nordmanni
ESV_021937,Eukaryota,Picozoa,,,,,
ESV_043830,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,Plumularia lagenifera
ESV_043927,Eukaryota,Arthropoda,Malacostraca,Amphipoda,,,
ESV_036828,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,
ESV_043803,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
ESV_042677,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium lilacinum
ESV_043876,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,
ESV_021691,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_000506,Eukaryota,,,,,,
ESV_043893,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Pseudevadne,Pseudevadne tergestina
ESV_043776,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Lithodesmium,Lithodesmium intricatum
ESV_043831,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Rhynchobrunnera,Rhynchobrunnera orthospora
ESV_043711,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia sabit
ESV_025273,Eukaryota,Picozoa,,,,,
ESV_008229,Eukaryota,unk_phylum,Dinophyceae,Gonyaulacales,,,
ESV_021706,Eukaryota,Picozoa,,,,,
ESV_043703,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_043880,Eukaryota,,,,,,
ESV_043877,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Pseudevadne,Pseudevadne tergestina
ESV_043765,Eukaryota,,,,,,
ESV_043944,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres semicinctus
ESV_043691,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,Calocalanus tenuis
ESV_021543,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_022189,Eukaryota,Picozoa,,,,,
ESV_043784,Eukaryota,,,,,,
ESV_043700,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_006532,Eukaryota,Picozoa,,,,,
ESV_028969,Eukaryota,,,,,,
ESV_043871,Eukaryota,,,,,,
ESV_022236,Eukaryota,Picozoa,,,,,
ESV_043697,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_022910,Eukaryota,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,Ascidia ahodori
ESV_043695,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_043676,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_043757,Eukaryota,,,,,,
ESV_043771,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Ctenocalanus,Ctenocalanus vanus
ESV_022234,Eukaryota,Picozoa,,,,,
ESV_043713,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043846,Eukaryota,,,,,,
ESV_021910,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043730,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043715,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043678,Eukaryota,,,,,,
ESV_022418,Eukaryota,Arthropoda,Collembola,Poduromorpha,Hypogastruridae,,
ESV_043832,Eukaryota,,,,,,
ESV_007909,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
ESV_043847,Eukaryota,Oomycota,unk_class,Peronosporales,Peronosporaceae,Phytophthora,
ESV_043848,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,Evadne spinifera
ESV_043751,Eukaryota,Annelida,,,,,
ESV_043782,Eukaryota,,,,,,
ESV_010059,Eukaryota,Picozoa,,,,,
ESV_043904,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,
ESV_043720,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,
ESV_004724,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
ESV_043849,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia cuspidata
ESV_043850,Eukaryota,Rotifera,Eurotatoria,Ploima,,,
ESV_043946,Eukaryota,,,,,,
ESV_043833,Eukaryota,,,,,,
ESV_043709,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,,,
ESV_043705,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Tisbidae,Tisbe,Tisbe sp. FHL 3
ESV_043706,Eukaryota,Annelida,,,,,
ESV_043698,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_043802,Eukaryota,,,,,,
ESV_043851,Eukaryota,,,,,,
ESV_043947,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta setosa
ESV_043852,Eukaryota,unk_phylum,Dinophyceae,,,,
ESV_043717,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043796,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,Evadne nordmanni
ESV_043675,Eukaryota,,,,,,
ESV_043688,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043883,Eukaryota,,,,,,
ESV_021088,Eukaryota,,,,,,
ESV_043820,Eukaryota,,,,,,
ESV_043779,Eukaryota,,,,,,
ESV_029429,Eukaryota,Oomycota,unk_class,Peronosporales,Peronosporaceae,Phytophthora,
ESV_043905,Eukaryota,Arthropoda,,,,,
ESV_043878,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Obeliidae,Obelia,Obelia dichotoma
ESV_043682,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Thylacodes,Thylacodes squamigerus
ESV_043887,Eukaryota,,,,,,
ESV_043948,,,,,,,
ESV_043783,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Leuckartiara,Leuckartiara octona
ESV_021116,Eukaryota,unk_phylum,Pelagophyceae,Pelagomonadales,unk_family,Pelagomonas,Pelagomonas calceolata
ESV_043873,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Cynoglossidae,Symphurus,Symphurus atricaudus
ESV_043896,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Pseudevadne,Pseudevadne tergestina
ESV_043707,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Tisbidae,Tisbe,Tisbe sp. FHL 3
ESV_043734,Eukaryota,unk_phylum,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,
ESV_043879,Eukaryota,Mollusca,Gastropoda,Pteropoda,Cymbuliidae,Corolla,Corolla spectabilis
ESV_043928,Eukaryota,Arthropoda,Malacostraca,Amphipoda,,,
ESV_043888,Eukaryota,Rhodophyta,Florideophyceae,,,,
ESV_043853,Eukaryota,,,,,,
ESV_043789,Eukaryota,,,,,,
ESV_043781,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus
ESV_043766,Eukaryota,,,,,,
ESV_022223,Eukaryota,Arthropoda,Insecta,,,,
ESV_043826,Eukaryota,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Filopaludina,
ESV_043747,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_025404,Eukaryota,,,,,,
ESV_032841,Eukaryota,Bacillariophyta,,,,,
ESV_043708,Eukaryota,Arthropoda,Collembola,Symphypleona,,,
ESV_021172,Eukaryota,,,,,,
ESV_043792,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Tisbidae,Tisbe,Tisbe sp. FHL 3
ESV_043929,Eukaryota,Arthropoda,Malacostraca,Amphipoda,,,
ESV_043855,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
ESV_043906,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,
ESV_043767,Eukaryota,,,,,,
ESV_043787,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp. NIES-1333
ESV_043874,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus
ESV_043854,Eukaryota,,,,,,
ESV_043772,Eukaryota,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,Chone magna CMC01
ESV_043692,Eukaryota,Arthropoda,,,,,
ESV_043907,Eukaryota,Arthropoda,,,,,
ESV_043756,Eukaryota,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,,
ESV_022019,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_043693,Eukaryota,,,,,,
ESV_043899,Eukaryota,Rhodophyta,Florideophyceae,,,,
ESV_043749,Eukaryota,Annelida,Polychaeta,Phyllodocida,Syllidae,Pionosyllis,Pionosyllis sp. CMC01
ESV_022014,Eukaryota,Picozoa,,,,,
ESV_043894,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Lensia,Lensia campanella
ESV_043758,Eukaryota,,,,,,
ESV_043882,Eukaryota,,,,,,
ESV_043736,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043725,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,
ESV_043778,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,,
ESV_043908,Eukaryota,Arthropoda,Hexanauplia,,,,
ESV_043834,Eukaryota,unk_phylum,Dinophyceae,Lophodiniales,Lophodiniaceae,Woloszynskia,
ESV_043774,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Ctenocalanus,Ctenocalanus vanus
ESV_043759,Eukaryota,,,,,,
ESV_043750,Eukaryota,,,,,,
ESV_029506,Eukaryota,,,,,,
ESV_043733,Eukaryota,Picozoa,,,,,
ESV_043673,Eukaryota,Annelida,,,,,
ESV_043959,Eukaryota,,,,,,
ESV_022204,Eukaryota,Picozoa,,,,,
ESV_043856,Eukaryota,,,,,,
ESV_043738,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043690,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_043755,Eukaryota,,,,,,
ESV_043674,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Clenchiellidae,,
ESV_043710,Eukaryota,,,,,,
ESV_043857,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,Evadne spinifera
ESV_043814,Eukaryota,,,,,,
ESV_043794,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
ESV_043694,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Tisbidae,Tisbe,Tisbe sp. FHL 3
ESV_043768,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Macrotrichidae,Macrothrix,Macrothrix sp. HE-364
ESV_043812,Eukaryota,,,,,,
ESV_043890,Eukaryota,,,,,,
ESV_043777,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Ctenocalanus,Ctenocalanus vanus
ESV_043858,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_020748,Eukaryota,Chordata,Aves,Galliformes,Phasianidae,Gallus,
ESV_043724,Eukaryota,,,,,,
ESV_043813,Eukaryota,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,Chone magna CMC01
ESV_043795,Eukaryota,Annelida,Polychaeta,,,,
ESV_043727,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,
ESV_043949,Eukaryota,,,,,,
ESV_022495,Eukaryota,unk_phylum,Dinophyceae,,,,
ESV_043712,Eukaryota,Annelida,Polychaeta,Sabellida,Sabellariidae,,
ESV_043931,Eukaryota,Arthropoda,Malacostraca,Amphipoda,,,
ESV_029465,Eukaryota,Picozoa,,,,,
ESV_043930,,,,,,,
ESV_043723,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_043732,Eukaryota,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloroparvula,Chloroparvula pacifica
ESV_043731,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_032376,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_043835,Eukaryota,Picozoa,,,,,
ESV_043822,Eukaryota,,,,,,
ESV_043836,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,Plumularia lagenifera
ESV_043797,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Tisbidae,Tisbe,Tisbe sp. FHL 3
ESV_043798,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Pontellidae,Pontella,
ESV_043775,Eukaryota,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,Chone magna CMC01
ESV_043728,Eukaryota,Arthropoda,,,,,
ESV_043932,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Dactylopusiidae,Diarthrodes,
ESV_043837,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Rhynchobrunnera,Rhynchobrunnera orthospora
ESV_043785,Eukaryota,,,,,,
ESV_043696,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Clenchiellidae,,
ESV_043859,Eukaryota,,,,,,
ESV_043909,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,,,
ESV_043860,Eukaryota,,,,,,
ESV_043702,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_043793,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Tisbidae,Tisbe,Tisbe sp. FHL 3
ESV_043838,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,Plumularia lagenifera
ESV_043799,Eukaryota,Arthropoda,Insecta,,,,
ESV_043945,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Diphyidae,Muggiaea,Muggiaea atlantica
ESV_043950,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,Calocalanus tenuis
ESV_043689,Eukaryota,Arthropoda,Insecta,,,,
ESV_043839,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Rhynchobrunnera,Rhynchobrunnera orthospora
ESV_043800,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_032062,Eukaryota,unk_phylum,Phaeophyceae,Ectocarpales,,,
ESV_043815,Eukaryota,,,,,,
ESV_043769,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Macrotrichidae,Macrothrix,Macrothrix sp. HE-364
ESV_043704,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_043729,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043954,Eukaryota,Mollusca,Gastropoda,Stylommatophora,Streptaxidae,Oophana,Oophana mouhoti
ESV_043933,Eukaryota,Arthropoda,Malacostraca,Amphipoda,,,
ESV_043934,,,,,,,
ESV_043861,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,Chrysochromulina sp. NIES-1333
ESV_043714,Eukaryota,Arthropoda,,,,,
ESV_043924,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio steenstrupi
ESV_036873,Eukaryota,Arthropoda,Insecta,,,,
ESV_043923,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Chthamalidae,Chthamalus,Chthamalus fissus
ESV_022421,Eukaryota,Arthropoda,Insecta,,,,
ESV_043935,Eukaryota,Arthropoda,Malacostraca,Amphipoda,,,
ESV_043753,Eukaryota,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloroparvula,Chloroparvula pacifica
ESV_022276,Eukaryota,,,,,,
ESV_043811,Eukaryota,,,,,,
ESV_043952,Eukaryota,,,,,,
ESV_043951,,,,,,,
ESV_043955,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta setosa
ESV_043801,Eukaryota,Arthropoda,Hexanauplia,Calanoida,,,
ESV_043840,Eukaryota,Picozoa,,,,,
ESV_043677,Eukaryota,Arthropoda,Insecta,Diptera,,,
ESV_043937,Eukaryota,Arthropoda,Malacostraca,Amphipoda,,,
ESV_043938,Eukaryota,Arthropoda,,,,,
ESV_043936,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC-2013
ESV_043910,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,
ESV_043816,Eukaryota,,,,,,
ESV_043780,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Ctenocalanus,Ctenocalanus vanus
ESV_043895,Eukaryota,Arthropoda,,,,,
ESV_043867,Eukaryota,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Tegula regina
ESV_043866,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,
ESV_043881,Eukaryota,Porifera,Demospongiae,Suberitida,Suberitidae,Protosuberites,Protosuberites denhartogi
ESV_043841,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,Plumularia lagenifera
ESV_043817,Eukaryota,,,,,,
ESV_022652,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,,,
ESV_043716,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio steenstrupi
ESV_043735,Eukaryota,Arthropoda,Insecta,,,,
ESV_043939,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,,,
ESV_043911,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,
ESV_033274,Eukaryota,,,,,,
ESV_043818,Eukaryota,,,,,,
ESV_021538,Eukaryota,unk_phylum,Dictyochophyceae,Florenciellales,unk_family,Pseudochattonella,Pseudochattonella verruculosa
ESV_043819,Eukaryota,,,,,,
ESV_043679,Eukaryota,,,,,,
ESV_043719,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,Prionospio steenstrupi
ESV_043680,Eukaryota,Arthropoda,Insecta,,,,
ESV_043718,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,,,
ESV_043737,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_043940,Eukaryota,Arthropoda,Malacostraca,Amphipoda,,,
ESV_043912,Eukaryota,Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,Cliona celata
ESV_043953,Eukaryota,,,,,,
ESV_015786,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
ESV_043913,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,
ESV_043842,Eukaryota,Bacillariophyta,,,,,
ESV_043862,Eukaryota,Oomycota,,,,,
ESV_043805,Eukaryota,Bacillariophyta,Coscinodiscophyceae,,,,
ESV_021966,Eukaryota,Haptista,Haptophyta,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ESV_043804,Eukaryota,Annelida,,,,,
ESV_043806,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta setosa
ESV_043739,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_025345,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_043683,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Clenchiellidae,,
ESV_043681,Eukaryota,Arthropoda,,,,,
ESV_043941,Eukaryota,Arthropoda,,,,,
ESV_043956,Eukaryota,Mollusca,Bivalvia,Lucinida,Ungulinidae,Diplodonta,Diplodonta sp. DJC-2016
ESV_043914,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,
ESV_043886,Eukaryota,,,,,,
ESV_043897,Eukaryota,Mollusca,Bivalvia,Galeommatida,,,
ESV_043885,Eukaryota,Picozoa,,,,,
ESV_043884,Eukaryota,Oomycota,unk_class,unk_order,unk_family,Haptoglossa,Haptoglossa sp. DM2 4/12
ESV_043863,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,
ESV_021973,Eukaryota,,,,,,
ESV_043807,Eukaryota,,,,,,
ESV_043827,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_043770,Eukaryota,,,,,,
ESV_022275,Eukaryota,,,,,,
ESV_043722,Eukaryota,Mollusca,Gastropoda,Littorinimorpha,Clenchiellidae,,
ESV_043684,Eukaryota,Platyhelminthes,Rhabditophora,Polycladida,Notocomplanidae,Notocomplana,
ESV_043741,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,,,
ESV_043721,,,,,,,
ESV_043740,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea
ESV_043916,Eukaryota,,,,,,
ESV_043915,Eukaryota,Arthropoda,Insecta,,,,
ESV_022871,Eukaryota,Haptista,Haptophyta,,,,
ESV_022637,Eukaryota,Picozoa,,,,,
ESV_043900,Eukaryota,Picozoa,,,,,
ESV_043898,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,Balanus trigonus
ESV_043808,Eukaryota,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloroparvula,
ESV_043786,Eukaryota,,,,,,
ESV_043760,Eukaryota,,,,,,
ESV_043809,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_043821,Eukaryota,Mollusca,Bivalvia,Cardiida,,,
ESV_043788,Eukaryota,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,Chone magna CMC01
ESV_043744,Eukaryota,Arthropoda,,,,,
ESV_043686,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia californiensis
ESV_043752,Eukaryota,Arthropoda,,,,,
ESV_043685,Eukaryota,,,,,,
ESV_043742,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_043743,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,
ESV_043701,Eukaryota,Mollusca,Gastropoda,Trochida,Tegulidae,Norrisia,Norrisia norrisii
ESV_043925,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,,
ESV_043921,Eukaryota,Echinodermata,Ophiuroidea,Amphilepidida,,,
ESV_043917,Eukaryota,Picozoa,,,,,
ESV_043919,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Boccardia,Boccardia proboscidea
ESV_043942,Eukaryota,,,,,,
ESV_016130,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
ESV_043920,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,,,
ESV_021170,Eukaryota,Porifera,Demospongiae,Poecilosclerida,,,
ESV_043922,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,,
ESV_043918,Eukaryota,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,Lepidonotus havaicus
ESV_043957,Eukaryota,unk_phylum,Dinophyceae,,,,
