ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species
ESV_027273,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Leuresthes,Leuresthes tenuis
ESV_027223,Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,Paralabrax,Paralabrax nebulifer
ESV_027301,,,,,,,
ESV_027380,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027317,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027318,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,
ESV_027334,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027311,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027281,Eukaryota,Chordata,Actinopteri,Blenniiformes,Blenniidae,Hypsoblennius,Hypsoblennius gilberti
ESV_027309,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027328,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,,
ESV_027446,Eukaryota,Chordata,Actinopteri,Clupeiformes,Dussumieriidae,Etrumeus,
ESV_027219,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_015498,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,NA,natural gynogenetic Carassius auratus red var.
ESV_027161,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,
ESV_027351,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_027167,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Brachyistius,Brachyistius frenatus
ESV_027320,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys californicus
ESV_027390,Eukaryota,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus
ESV_027381,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres californicus
ESV_027447,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027212,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gillichthys,Gillichthys mirabilis
ESV_027335,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027213,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys decurrens
ESV_027214,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027431,Eukaryota,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax unicolor
ESV_027424,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027156,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,
ESV_027157,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_000989,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa
ESV_027127,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027220,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Embiotoca,Embiotoca jacksoni
ESV_027283,,,,,,,
ESV_027158,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,Girella simplicidens
ESV_027254,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Leuresthes,Leuresthes tenuis
ESV_027197,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Leuresthes,Leuresthes tenuis
ESV_027159,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,
ESV_027344,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,,
ESV_027234,Eukaryota,Chordata,Actinopteri,unk_order,Opistognathidae,Opistognathus,Opistognathus evermanni
ESV_027432,Eukaryota,Chordata,Actinopteri,Beloniformes,Exocoetidae,,
ESV_027294,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027433,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027255,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Medialuna,Medialuna californiensis
ESV_027160,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus
ESV_027240,Eukaryota,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Rimicola,Rimicola muscarum
ESV_027165,Eukaryota,Chordata,Chondrichthyes,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis californica
ESV_027284,Eukaryota,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus
ESV_027198,Eukaryota,Chordata,Actinopteri,Blenniiformes,Clinidae,Gibbonsia,Gibbonsia montereyensis
ESV_027217,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Semicossyphus,Semicossyphus pulcher
ESV_027391,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027256,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Medialuna,Medialuna californiensis
ESV_027163,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_010631,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027218,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,
ESV_027132,Eukaryota,Chordata,Actinopteri,unk_order,Sciaenidae,Menticirrhus,Menticirrhus littoralis
ESV_027415,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Coryphopterus,Coryphopterus urospilus
ESV_027434,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Embiotoca,Embiotoca jacksoni
ESV_027435,Eukaryota,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax unicolor
ESV_027382,Eukaryota,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,
ESV_027359,,,,,,,
ESV_027321,Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,Paralabrax,Paralabrax clathratus
ESV_027257,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,
ESV_027285,Eukaryota,Chordata,Actinopteri,unk_order,Sciaenidae,Menticirrhus,Menticirrhus littoralis
ESV_027164,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Hermosilla,Hermosilla azurea
ESV_009945,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027392,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027134,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Brachyistius,Brachyistius frenatus
ESV_027364,Eukaryota,Chordata,Actinopteri,,,,
ESV_027393,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Hippoglossina,Hippoglossina stomata
ESV_027242,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_000787,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,
ESV_027394,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Medialuna,Medialuna californiensis
ESV_027322,Eukaryota,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus
ESV_027286,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,
ESV_027270,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027287,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_023095,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
ESV_027172,Eukaryota,Chordata,Actinopteri,unk_order,Sciaenidae,Genyonemus,Genyonemus lineatus
ESV_027243,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Amphistichus,
ESV_027416,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027312,Eukaryota,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,Lycalopex sp. CAN005
ESV_027221,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Citharichthys,Citharichthys stigmaeus
ESV_027448,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus
ESV_027336,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
ESV_027246,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Leuresthes,Leuresthes tenuis
ESV_027323,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,,
ESV_027222,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Brachyistius,Brachyistius frenatus
ESV_027303,Eukaryota,Chordata,Actinopteri,unk_order,Opistognathidae,Opistognathus,Opistognathus evermanni
ESV_027235,,,,,,,
ESV_027417,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres californicus
ESV_027436,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_027345,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,,
ESV_027365,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus
ESV_027236,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Semicossyphus,Semicossyphus pulcher
ESV_027304,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys coenosus
ESV_027288,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027166,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,
ESV_027354,Eukaryota,Chordata,Actinopteri,,,,
ESV_027258,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,
ESV_027135,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_027418,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027395,Eukaryota,Chordata,Actinopteri,unk_order,Pomacentridae,Chromis,Chromis punctipinnis
ESV_027244,Eukaryota,Chordata,Actinopteri,unk_order,Sciaenidae,,
ESV_027437,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Medialuna,Medialuna californiensis
ESV_027438,Eukaryota,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Ophidion,Ophidion marginatum
ESV_027396,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027324,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027337,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Brachyistius,Brachyistius frenatus
ESV_027231,Eukaryota,Chordata,Actinopteri,unk_order,Pomacentridae,Hypsypops,Hypsypops rubicundus
ESV_027346,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,,
ESV_027289,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027224,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027137,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,
ESV_027425,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,
ESV_027397,Eukaryota,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Paraclinus,Paraclinus marmoratus
ESV_027259,Eukaryota,Chordata,Actinopteri,unk_order,Opistognathidae,Opistognathus,
ESV_027290,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027169,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Brachyistius,Brachyistius frenatus
ESV_027168,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus
ESV_027225,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,,
ESV_027398,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027399,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Medialuna,Medialuna californiensis
ESV_027449,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres californicus
ESV_027338,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027274,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_027170,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Brachyistius,Brachyistius frenatus
ESV_027171,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus
ESV_027450,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,
ESV_027325,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Embiotoca,Embiotoca jacksoni
ESV_023509,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
ESV_027226,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gillichthys,Gillichthys mirabilis
ESV_027291,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus
ESV_027292,Eukaryota,Chordata,Actinopteri,unk_order,Opistognathidae,Opistognathus,Opistognathus evermanni
ESV_027143,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_027293,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,
ESV_027401,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Medialuna,Medialuna californiensis
ESV_027400,Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,Paralabrax,Paralabrax clathratus
ESV_027388,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027419,Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,Paralabrax,Paralabrax clathratus
ESV_027355,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_027326,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_027384,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,
ESV_027383,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres californicus
ESV_027227,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Embiotoca,Embiotoca jacksoni
ESV_027173,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon plumierii
ESV_027426,Eukaryota,Chordata,Actinopteri,Perciformes,Scorpaenidae,Scorpaenodes,Scorpaenodes evides
ESV_027347,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,,
ESV_000791,Eukaryota,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,,
ESV_027245,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Cheilotrema,Cheilotrema saturnum
ESV_027174,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon plumierii
ESV_027201,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Hermosilla,Hermosilla azurea
ESV_027200,Eukaryota,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Paraclinus,Paraclinus marmoratus
ESV_027451,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,,
ESV_027420,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027327,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027313,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027271,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Leuresthes,Leuresthes tenuis
ESV_027175,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Brachyistius,Brachyistius frenatus
ESV_027202,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Leuresthes,Leuresthes tenuis
ESV_024789,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
ESV_027439,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027404,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027402,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Medialuna,Medialuna californiensis
ESV_027403,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Medialuna,Medialuna californiensis
ESV_027367,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,
ESV_027339,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027366,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,
ESV_027260,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_027139,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus
ESV_027177,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon plumierii
ESV_027176,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027203,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_018187,Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Notropis,Notropis volucellus
ESV_027405,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Seriola,Seriola lalandi
ESV_027421,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027452,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,,
ESV_027329,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Cynoglossidae,Symphurus,Symphurus atricaudus
ESV_027368,Eukaryota,Chordata,Actinopteri,,,,
ESV_027385,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres californicus
ESV_027369,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,,
ESV_027341,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus
ESV_027340,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027295,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027237,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Brachyistius,Brachyistius frenatus
ESV_027261,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_027228,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres californicus
ESV_027275,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Leuresthes,Leuresthes tenuis
ESV_027204,Eukaryota,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Rimicola,Rimicola muscarum
