ESVId,Field_Control_1,Field_Control_2,Extraction_Blank_2,Extraction_Blank_1,EL_B,EL_M,EL_S,WQ_B,WQ_M,WQ_S,SL_B,SL_M,SL_S,PF_S,PF_B,HK_S,HR_B,BK_B,HR_M,BK_M,BK_S,HR_S,PB_S,RP_B,PB_B,PB_M,RP_S,RP_M
ESV_043878,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,11
ESV_043887,0,0,0,0,0,8,10,9,0,0,9,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043948,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,27,0,10,0,0,0,0,0,0
ESV_021116,0,0,0,0,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,11,0,0,0
ESV_043873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043896,0,0,0,0,0,0,0,0,0,0,44,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0
ESV_043734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,14,0,0,0
ESV_043879,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043928,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043888,0,0,0,0,0,0,0,17,9,0,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043853,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_043789,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,24,0,8,0,0,0,0,0,0
ESV_043781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,18,0,13,0,0,0,0,0,0
ESV_043766,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_022223,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
